,sentence
2121,"Imbauan itu merupakan bagian dari lima pesan yang disampaikan Budi Gunawan dalam Rapat Koordinasi Nasional Pemerintah Pusat dan Daerah di Sentul International Convention Center (SICC), Bogor, Jawa Barat, Kamis (7/11/2024)."
2122,“Berhati-hati dalam membuat kebijakan termasuk pembuatan perda-perda yang berpotensi menimbulkan gejolak.
2123,"Contohnya, di dalam penentuan Upah Minimum Provinsi maupun Kabupaten/Kota yang melibatkan tripartid, dalam hal ini adalah pengusaha, buruh dan pemerintah,” kata Budi Gunawan, Kamis."
2124,"Menurut dia, stabilitas politik dan keamanan penting untuk meningkatkan pertumbuhan ekonomi dan menjalankan program Astacita."
2125,"Oleh karenanya, dibutuhkan peran serta pemerintah daerah untuk mewujudukan stabilitas tersebut."
2126,"""Stabilitas politik dan keamanan adalah prasyarat mutlak sebagai pondasi untuk pembangunan nasional di semua peradaban,” ujar Budi Gunawan."
2127,"Apalagi, Budi Gunawan mengatakan bahwa penghambat pertumbuhan ekonomi di Indonesia adalah ketidakstabilian di bidang politik dan keamanan, terutama menyangkut kepastian hukum."
2128,"“Penghambat utama pertumbuhan ekonomi kita adalah karena faktor ketidakstabilan di bidang politik dan keamanan, terutama ketidakpastian hukum di dalam menghadapi praktik-praktik koruptif, penyelundupan maupun juga tindak pidana lainnya yang menyasar kepada seluruh lapisan masyarakat termasuk kasus tindak pidana judi online,” ujarnya."
2129,"Selain berhati-hati dalam membuat kebjiakan, Budi Gunawan mengingatkan para kepala daerah untuk menjamin penyediaan layanan publik yang adil."
2130,"Sehingga, stabilitas keamanan terjamin."
2131,Dia juga mendorong pemerintah daerah melibatkan masyarakat dalam program-program yang dicanangkan pemerintah.
2132,"Dengan demikian, masyarakat bisa mendukung dan menjadi mitra yang positif bagi pemerintah daerah untuk menjaga stabilitas di daerahnya masihng2"
2133,Berikut lima pesan Budi Gunawan kepada para kepala daerah:
2134,Mewujudkan Iklim Investasi Kondusif
2135,"Setelah bertahun-tahun menyaksikan geliat ekonomi Indonesia di bawah kepemimpinan Joko Widodo, kini perhatian publik beralih kepada sosok Presiden Prabowo Subianto."
2136,"Sosok ini membawa harapan baru dan janji untuk membawa Indonesia ke tahap berikutnya, dengan misi yang tidak sekadar simbolis."
2137,"Dalam visi pemerintah yang kini diusung, tergambar cita-cita besar untuk menjadikan Indonesia sebagai negara dengan pertumbuhan ekonomi stabil serta iklim investasi yang mengundang minat global."
2138,Target ambisius diumumkan ke hadapan rakyat—Prabowo membidik pertumbuhan ekonomi hingga 7-8% per tahun.
2139,Sebuah target yang mengesankan dan tentunya menuntut kebijakan investasi yang terarah dan berani.
2140,"Namun, tantangan sebenarnya justru terletak pada perjalanan menuju ambisi tersebut."
2141,Pertanyaan kritis muncul: apakah langkah-langkah yang telah dipersiapkan benar-benar cukup untuk menciptakan iklim investasi yang efisien dan menurunkan Incremental Capital Output Ratio (ICOR) yang masih menjadi momok dalam struktur ekonomi kita?
2142,Ataukah ini hanya sekadar retorika dan janji-janji besar yang sulit direalisasikan?
2143,Mempertahankan konsistensi dalam kebijakan dan efisiensi dalam pelaksanaan adalah tugas berat.
2144,"Apakah cita-cita ini hanya menjadi sebatas ilusi, atau Prabowo akan berhasil membuktikan dirinya sebagai pemimpin yang mampu mewujudkan mimpi ekonomi Indonesia?"
2145,Pemerintah Prabowo berkomitmen menarik lebih banyak investasi asing melalui berbagai kebijakan.
2146,Salah satu langkah yang cukup kontroversial adalah rencana menurunkan Pajak Penghasilan (PPh) Badan dari 22% menjadi 20%.
2147,Ini adalah strategi untuk meningkatkan daya tarik Indonesia di mata investor global.
2148,Prabowo juga berencana membentuk Badan Pengelola Investasi Daya Anagata Nusantara (BP Investasi Danantara) yang dirancang seperti Temasek di Singapura.
2149,BP Investasi Danantara akan mengelola aset-aset pemerintah untuk menciptakan efisiensi dalam pengelolaan investasi negara.
2150,"Namun, langkah proteksionis seperti kewajiban Tingkat Komponen Dalam Negeri (TKDN) untuk produsen asing, termasuk Apple, menimbulkan kekhawatiran."
2151,Ketentuan TKDN menuntut perusahaan asing menggunakan komponen dalam negeri hingga 40%.
2152,"Kebijakan ini memiliki sisi positif bagi industri lokal, tetapi juga dapat membatasi minat perusahaan asing untuk berinvestasi jika biaya produksi di Indonesia dinilai terlalu tinggi."
2153,"Langkah ini juga berpotensi menambah tekanan pada industri yang belum siap memenuhi standar tersebut, pada akhirnya membuat beberapa perusahaan memilih mundur dari rencana investasi."
2154,"Di sisi lain, program hilirisasi industri Prabowo, terutama di sektor mineral dan energi, berpotensi menjadi magnet investasi besar."
2155,"Kunjungi KEK HIPS, Delegasi China Jajaki Potensi Industri Halal Indonesia"
2156,"Sebanyak 50 pengusaha asal China yang tergabung dalam 28 perusahaan makanan dan minuman berskala internasional mengunjungi Kawasan Ekonomi Khusus (KEK) Industri Halal Sidoarjo (HIPS), Jawa Timur."
2157,Kunjungan ini bertujuan untuk menjajaki potensi kerja sama dan investasi di sektor industri halal Indonesia yang semakin berkembang.
2158,"Dalam kesempatan tersebut, para delegasi menunjukkan minat besar terhadap sejumlah fasilitas yang ditawarkan KEK HIPS."
2159,"Mereka mengajukan berbagai pertanyaan terkait insentif tax holiday, kemudahan cara memperoleh sertifikasi halal, serta dukungan investasi di kawasan tersebut."
2160,"Direktur Utama PT Makmur Berkah Amanda Tbk (MBA), Adi Tedja Surya, menjelaskan bahwa KEK Industri Halal Sidoarjo dirancang sebagai pusat unggulan industri halal nasional dengan total area 796,65 hektare."
2161,"“Dengan target investasi sebesar Rp 97,8 triliun hingga 2045 dan proyeksi penciptaan 317.670 lapangan kerja, kawasan ini kami siapkan untuk menjadi ekosistem terintegrasi yang mendukung pengembangan industri halal,” jar Adi saat mendampingi delegasi China, dalam rilis pers yang diterima , Selasa (19/11/2024)."
2162,"Menurut Adi, Indonesia bercita-cita menjadi pusat halal dunia."
2163,"Konsumsi produk halal di Indonesia saat ini mencapai lebih dari 10% dari total produk halal global, meskipun kontribusi sebagai produsen masih perlu ditingkatkan."
2164,“KEK HIPS adalah langkah konkret untuk mendukung Indonesia menjadi global halal hub.
2165,"Lokasinya strategis, terhubung dengan berbagai proyek nasional, seperti Ibu Kota Nusantara (IKN), serta menawarkan peluang besar di sektor hilirisasi, logistik, dan perdagangan,” jelasnya."
2166,"Adi juga menekankan pentingnya kolaborasi antara pemerintah dan pelaku usaha untuk mempercepat pertumbuhan ekonomi, khususnya di kawasan timur Indonesia."
2167,"“Semangat ini sejalan dengan visi Presiden Prabowo dan Menko Perekonomian Airlangga Hartarto untuk meningkatkan pertumbuhan ekonomi nasional hingga 8% pada 2025,” tambahnya."
2168,"Dengan potensi besar yang dimiliki, KEK Industri Halal Sidoarjo diharapkan menjadi ekosistem yang mendukung semua proses, mulai dari produksi, pengolahan, hingga distribusi produk halal secara menyeluruh."
2169,Ini Profil 8 Anggota Dewan Ekonomi Nasional yang Dipimpin Luhut Pandjaitan
2170,"Presiden Prabowo Subianto baru saja melantik Mari Elka Pangestu sebagai Wakil Ketua Dewan Ekonomi Nasional di Istana Negara, Jakarta, Selasa (5/11/2024)."
2171,"Selain Mari Elka, ada enam anggota Dewan Ekonomi Nasional yang juga dilantik Prabowo."
2172,Pelantikan tersebut melengkapi kepengurusan Dewan Ekonomi Nasional yang sebelumnya baru diisi oleh Luhut Binsar Pandjaitan sebagai ketua.
2173,"Berikut ini profil delapan orang anggota Dewan Ekonomi Nasional mulai dari ketua, wakil ketua hingga anggotanya."
2174,Luhut Binsar Pandjaitan (Ketua)
2175,Luhut Binsar Pandjaitan merupakan pensiunan militer yang kemudian aktif di pemerintahan.
2176,"Setelah karier militernya selesai, Luhut menjabat sebagai Duta Besar RI untuk Singapura pada 1999-2000."
2177,"Kemudian, menjadi Menteri Perindustrian dan Perdagangan RI pada 2000-2001."
2178,"Luhut juga menjadi menteri dalam dua periode pemerintahan Presiden ke-7 RI, Joko Widodo."
2179,Yakni sebagai Menko Polhukam pada 2015-2016 lalu berlanjut sebagai Menko Kemaritiman dan Investasi pada 2016-2019.
2180,Jabatan sebagai Menko Kemaritiman dan Investasi berlanjut hingga 2024 setelah Presiden Joko Widodo kembali menunjuknya untuk posisi yang sama di periode kedua pemerintahannya.
2181,Mari Elka Pangestu (Wakil Ketua)
2182,Mari Elka Pangestu merupakan Menteri Perdagangan (Mendag) di era Presiden ke-6 RI Susilo Bambang Yudhoyono (SBY) yang menjabat pada 2004-2011 atau pada saat periode pertama hingga kedua pemerintahan Presiden SBY.
2183,"Kemudian, ia juga pernah ditugaskan oleh SBY menjadi Menteri Koperasi dan Usaha Kecil Menengah sementara pada 2008-2009."
2184,"Selain itu, pada 2011-2014, Mari diberi tugas oleh SBY menjadi Menteri Pariwisata dan Ekonomi Kreatif."
2185,"Sebelum menjadi menteri, Mari merupakan pernah bekerja di Centre for Strategic and International Studies (CSIS) di Jakarta."
2186,Ia pun tercatat sebagai Guru Besar Ekonomi Internasional di Fakultas Ekonomi Universitas Indonesia (FE UI).
2187,Chatib Basri (Anggota)
2188,"Muhammad Chatib Basri merupakan ekonom, peneliti dan dosen yang sempat menduduki sejumlah jabatan di era pemerintahan Presiden SBY."
2189,"Pada 2012 hingga 2013, Chatib Basri menjadi Kepala Badan Koordinasi Penanaman Modal."
2190,Kemudian pada 2013 hingga 2014 ia pernah menjabat sebagai Menteri Keuangan (Menkeu).
2191,Chatib juga diketahui pernah menjadi anggota Dewan Komisaris sejumlah perusahaan publik.
2192,Antara lain di PT AstRa International dan PT Indika Energy.
2193,"Ia pun dikenal luas sebagai akademisi, profesional dan aktif menulis untuk berbagai media dan jurnal internasional."
2194,Dharma Pongrekun Siapkan Program Ekonomi GTA untuk Hadapi Resesi
2195,Calon gubernur Jakarta nomor urut 2 Dharma Pongrekun mengaku sudah mendesain sebuah program ekonomi untuk menyiapkan warga Jakarta dalam menghadapi potensi terjadinya resesi di tahun 2025-2030.
2196,"""Itu sebabnya (program) ekonomi adil Getuk Tular Adab (GTA) akan segera saya jalankan supaya rakyat tetap aman ekonominya walau dunia resesi,"" ujar Dharma saat berorasi di kampanye akbar di Lapangan Tabaci, Kalideres, Jakarta Barat, Sabtu (23/11/2024)."
2197,"Dharma mengatakan, program GTA ini dihadirkannya karena menyadari gaji warga Jakarta tidak cukup untuk membiayai kehidupan mereka sehari-hari."
2198,"Apalagi, mereka yang gajinya sebatas upah minimum regional (UMR)."
2199,"""Enggak bakal cukup UMR untuk satu keluarga, empat anak."
2200,"Maka Getuk Tular Adab akan membuka jalan bagi ibu dan anggota keluarga lainnya untuk mendapatkan penghasilan,” imbuh dia."
2201,"Salah satu jalan untuk mensukseskan program ini adalah jika para warga kompak hanya menggunakan produk lokal, tidak lagi membeli produk luar negeri."
2202,"“Mari mulai hari ini, kita membuat tekad, mengambil satu tekad, kita akan hanya menggunakan produk Jakarta."
2203,"Itu adalah cara untuk membuat ekonomi rakyat Jakarta bangkit,"" jelas Dharma lagi."
2204,"Selain mendorong penggunaan produk lokal, Dharma mengaku sudah menyiapkan sebuah tim untuk mengajarkan warga cara membuat usaha yang benar."
2205,"""Saya akan kirim tim ekonomi adab yang akan mengajarkan kepada setiap keluarga sampai bisa membuatnya dengan kualitas yang bagus,"" lanjut dia."
2206,"Tim ini tidak hanya mengajarkan cara untuk mencari pasar atau memberikan modal, tapi hingga ke ilmu negosiasi dengan konsumen luar negeri."
2207,"""Rakyat cuma perlu melihara adab saat berkarya agar kualitas barangnya bagus dan betul jadi manfaat buat pemakai,"" kata dia."
2208,"Dharma meyakini, dengan cara ini, warga Jakarta dapat hidup makmur dan berkecukupan."
2209,"Diketahui, tahapan pilkada memasuki masa kampanye pada 25 September-23 November 2024."
2210,"Kemudian, sebelum memasuki hari pemungutan suara, pada 24-26 November 2024 ditetapkan sebagai masa tenang."
2211,Hari pemungutan suara Pilkada 2024 akan digelar secara serentak di seluruh Indonesia pada 27 November 2024.
2212,"Mengenal “Ugly Fruit”, Si Buruk Rupa yang Punya Peluang Ekonomi di Tanah Air"
2213,Buah-buahan segar dengan warna cerah dan bentuk mulus kerap menjadi pilihan utama di pasar.
2214,"Namun, tahukah Anda bahwa banyak buah tidak pernah sampai ke meja makan hanya karena penampilannya yang dianggap kurang sempurna?"
2215,"Buah-buahan dengan tampilan tak sempurna tersebut, mulai dari bentuk, ukuran, hingga warna, dinilai sebagai buah “cacat” atau imperfect."
2216,Buah-buahan ini juga dikenal dengan istilah ugly fruit.
2217,"Meski rasa dan kandungan gizinya sama dengan buah ""sempurna"", produk ugly fruit sering kali ditolak pasar dan akhirnya terbuang."
2218,"Padahal, jika dikelola dengan baik, ugly fruit menyimpan potensi besar, baik dari sisi ekonomi maupun keberlanjutan lingkungan."
2219,"Data World Fruit Map (2023) mencatat, Indonesia menghasilkan sekitar 24,9 juta ton buah segar per tahun Bahkan, menjadikannya produsen buah segar terbesar kedelapan di dunia."
2220,"[Kompas.id, 17 Juli 2023]"
2221,"Sayangnya, hasil riset Kementerian Perencanaan Pembangunan Nasional/Badan Perencanaan Pembangunan Nasional (PPN/Bappenas), Indonesia kehilangan 23–48 juta ton makanan yang terbuang (food loss and waste/FLW) per tahun sejak 2000–2019."
2222,"Adapun buah menempati urutan kedua, dengan proporsi 20%."
2223,"“Besarnya dampak food loss memengaruhi tingkat pengolahan, pemurnian produk makanan, serta tahap (hulu atau hilir) dalam rantai pasokan makanan."
2224,"Hal itu menyebabkan kuantitas dan kualitas makanan menjadi hilang,” kata Kepala Organisasi Riset Pertanian dan Pangan (ORPP/ROAF) Badan Riset dan Inovasi Nasional (BRIN), Puji Lestari dalam diskusi daring bertajuk “Reduction of Food Loss onn Tropical Fruits”, Jumat (3/6/2022)."
2225,"Buah-buahan yang dibuang di tempat pembuangan akhir (TPA) menghasilkan gas metana, yang 25 kali lebih berpotensi mempercepat pemanasan global dibanding karbon dioksida."
2226,"Selain itu, cairan lindi dari sampah organik mencemari tanah dan air di sekitarnya."
2227,"Padahal, jika dikelola dengan baik, buah-buahan imperfect dapat menjadi produk bernilai tinggi."
2228,"Di Tanah Air, beberapa organisasi telah hadir untuk mewadahi penyaluran bahan makanan “imperfect” dan sisa pangan layak konsumsi."
2229,"Misalnya, Surplus, Garda Pangan, Foodbank of Indonesia, dan Foodbank Bandung."
2230,"Namun, langkah ini belum masif."
2231,"Negara-negara seperti Prancis, Inggris, dan Amerika Serikat, berhasil memanfaatkan ugly fruit dengan strategi bisnis inovatif."
2232,"Kampanye Inglorious Fruits and Vegetables dari Intermarché di Prancis, misalnya, menawarkan buah-buahan ini dengan harga 30% lebih murah atau mengolahnya menjadi produk turunan, seperti jus dan sup."
2233,"Di Inggris, layanan Oddbox mendistribusikan ugly fruit langsung ke pelanggan, sedangkan Imperfect Produce di Amerika Serikat menjalankan model serupa."
2234,Indonesia memiliki potensi besar untuk mengadaptasi model bisnis seperti itu.
2235,"Namun, ada beberapa tantangan yang harus diatasi."
2236,"Pertama, persepsi publik."
2237,"Kebanyakan masyarakat Indonesia masih memandang buah ""jelek"" sebagai produk berkualitas rendah."
2238,Stigma ini menjadi hambatan utama bagi petani atau usaha mikro kecil dan menengah (UMKM) untuk memasarkan ugly fruit.
2239,"Kedua, tidak semua petani atau distributor memiliki akses ke fasilitas pengolahan untuk mengolah ugly fruit menjadi produk turunan bernilai tambah."
2240,"Neraca Pembayaran Indonesia Surplus, Tanda Stabilitas Ketahanan Eksternal Terjaga"
2241,Stabilitas ketahanan eksternal Indonesia hingga saat ini tetap terjaga di tengah tantangan global.
2242,Hal ini terlihat dari capaian surplus pada neraca transaksi ekonomi internasional Indonesia.
2243,"Menurut laporan Bank Indonesia (BI), Neraca Pembayaran Indonesia (NPI) pada kuartal III-2024 mencapai 5,9 miliar dollar Amerika Serikat (AS), setelah sebelumnya defisit sebesar 0,6 miliar dollar AS pada kuartal II-2024."
2244,"Salah satu faktor pendorong surplus tersebut adalah penurunan defisit transaksi berjalan yang membaik menjadi 2,2 miliar dollar AS atau turun 0,6% dari produk domestik bruto (PDB), dari sebelumnya 3,2 miliar dollar AS atau turun 0,9% dari PDB pada kuartal II-2024."
2245,"Penurunan tersebut dipengaruhi oleh perbaikan defisit Neraca Jasa, yang turun dari 5,1 miliar dollar AS menjadi 4,2 miliar dollar AS, didorong oleh peningkatan kunjungan wisatawan internasional, terutama karena penyelenggaraan acara besar dan periode liburan musim panas."
2246,"Selain itu, defisit pada Neraca Pendapatan Primer juga mengalami penurunan menjadi 8,9 miliar dollar AS atau lebih rendah dibandingkan periode sebelumnya sebesar 9,6 miliar dollar AS."
2247,Hal ini yang disebabkan oleh penurunan pembayaran imbal hasil atas investasi langsung dan investasi portfolio sejalan dengan pola siklus bisnis
2248,"Sementara itu, surplus Neraca Pendapatan Sekunder mengalami peningkatan menjadi 1,6 miliar dollar AS atau lebih tinggi dibandingkan periode sebelumnya sebesar 1,5 miliar dollar AS."
2249,Peningkatan ini didorong oleh remitansi dari pekerja migran Indonesia (PMI).
2250,"NPI juga didorong oleh peningkatan surplus pada transaksi modal dan finansial, yang naik menjadi 6,6 miliar dollar AS atau meningkat 1,8% dari PDB, dari sebelumnya hanya 3,0 miliar dollar AS pada kuartal III-2024."
2251,"Peningkatan tersebut dipengaruhi oleh meningkatnya investasi asing langsung, terutama di sektor industri pengolahan, pertambangan, serta perdagangan."
2252,Investasi portofolio juga berkontribusi melalui pembelian instrumen jangka panjang seperti Surat Utang Negara (SUN) dan Global Bond.
2253,"Selain itu, peningkatan surplus investasi portofolio yang mencapai 9,6 miliar dollar AS turut berkontribusi signifikan."
2254,"Surplus tersebut didorong oleh pembelian instrumen jangka panjang, seperti Surat Utang Negara (SUN) Rupiah dan Global Bond Pemerintah, serta instrumen jangka pendek seperti Sekuritas Rupiah Bank Indonesia (SRBI)."
2255,"Surplus Neraca Pembayaran juga berdampak positif pada posisi cadangan devisa Indonesia, yang meningkat menjadi 149,9 miliar dollar AS pada akhir September 2024."
2256,"Jumlah tersebut setara dengan pembiayaan 6,4 bulan impor dan pembayaran utang luar negeri pemerintah, jauh di atas standar kecukupan internasional yang sekitar tiga bulan impor."
2257,"Dalam menjaga stabilitas eksternal di tengah tekanan global, seperti penguatan indeks dolar AS yang memengaruhi volatilitas pasar keuangan Indonesia, pemerintah telah menerapkan kebijakan strategis."
2258,Salah satu langkah utamanya adalah memperkuat penggunaan mata uang lokal dalam transaksi bilateral.
2259,"Dorong Pengusaha Muda Naik Kelas, BRI dan Hipmi Jalin Sinergi Strategis"
2260,PT Bank Rakyat Indonesia (Persero) Tbk atau BRI menjalin sinergi dengan Badan Pengurus Pusat Himpunan Pengusaha Muda Indonesia (BPP Hipmi) dalam upaya memperkuat dukungan kepada pengusaha muda di seluruh Indonesia.
2261,"Kerja sama strategis tersebut ditandai dengan penandatanganan nota kesepahaman atau memo of understanding (MoU) yang berlangsung di Auditorium BRIlian Center, Jakarta, Kamis (31/10/2024)."
2262,"Melalui sinergi tersebut, BRI berkomitmen untuk menyediakan akses permodalan, fasilitas layanan perbankan, dan berbagai kemudahan lainnya bagi anggota Hipmi."
2263,"Kerja sama kedua pihak juga sejalan dengan visi BRI sebagai agen pembangunan yang berperan aktif dalam mendukung sektor usaha mikro kecil dan menengah (UMKM), yang merupakan pilar penting bagi perekonomian nasional."
2264,"Direktur Commercial, Small, and Medium Business BRI, Amam Sukriyanto menyampaikan, optimisme terhadap potensi sinergi BRI dan Hipmi."
2265,Amam berharap kerja sama ini dapat memperluas akses permodalan dan memperkuat pengembangan bisnis para anggota Hipmi di seluruh Indonesia.
2266,"“Sebagai agent of development, BRI Group berkomitmen penuh untuk mendukung pertumbuhan UMKM di Indonesia."
2267,"Hingga triwulan III-2024, BRI Group telah menyalurkan kredit sebesar Rp 1.353,36 triliun, dengan sekitar 81,70% atau Rp 1.105,70 triliun dialokasikan khusus untuk segmen UMKM,” ujarnya dalam siaran pers yang diterima , Rabu (6/11/2024)."
2268,Amam mengatakan bahwa kerja sama tersebut menjadi langkah nyata BRI dalam memperkuat UMKM di seluruh ekosistem perekonomian nasional.
2269,"“Dengan berbagai pemberdayaan dan layanan perbankan yang kami berikan, kami berharap dapat mendorong anggota Hipmi untuk naik kelas, meningkatkan kapasitas, dan kontribusi mereka dalam perekonomian,” tuturnya."
2270,Dukungan dan Apresiasi dari HIPMI
2271,"Pada kesempatan yang sama, Ketua Bidang Sinergitas BUMN dan BUMD BPP Hipmi, Mufti Anam mengapresiasi dukungan yang diberikan oleh BRI bagi para anggota Hipmi, khususnya terkait akses layanan perbankan dan permodalan."
2272,"“Dengan adanya MoU ini, berbagai kemudahan dan fasilitas perbankan dapat dinikmati oleh rekan-rekan kami di BPP Hipmi."
2273,"Kami sangat berterima kasih atas kemitraan ini, yang memungkinkan akses permodalan lebih mudah bagi anggota kami di seluruh Indonesia,” ucapnya."
2274,Mufti juga menekankan pentingnya dukungan tersebut dalam membantu pengusaha muda menghadapi tantangan di daerah.
2275,"""Dukungan ini akan menjadi solusi bagi tantangan yang mereka hadapi di wilayah masing-masing,” ucapnya."
2276,"Sementara itu, Wakil Bendahara Umum BPP Hipmi, Margaret Srijaya menegaskan bahwa program tersebut bukan sekadar wacana atau nota kesepahaman semata."
2277,Melainkan telah terwujud dalam langkah-langkah konkret yang telah dilaksanakan.
2278,"“Hingga kini, sudah ada ratusan pengajuan kartu kredit bisnis dari Hipmi kepada BRI."
2279,"Selain itu, pengajuan pinjaman untuk para pengusaha muda juga sudah terealisasi dengan total mencapai Rp 110 miliar,” imbuh Margaret."
2280,Ia menjelaskan bahwa inisiatif tersebut sangat berharga bagi pengusaha muda karena memberikan kemudahan akses permodalan yang selama ini menjadi tantangan utama.
2281,"""Dengan adanya akses permodalan yang lebih mudah, para pengusaha muda dapat mengembangkan bisnis mereka dengan lebih optimal,"" tutur Margaret."
2282,Sinergi antara BRI dan Hipmi ini juga menjadi bukti nyata komitmen BRI dalam mendukung pengusaha muda di seluruh Indonesia.
2283,"Amam Sukriyanto menegaskan bahwa dengan berbagai kemudahan yang diberikan, BRI bertekad untuk membantu pengusaha muda mempercepat pertumbuhan bisnis mereka, meningkatkan daya saing, serta memperbesar kontribusi mereka terhadap perekonomian Indonesia."
2284,"“Dengan dukungan ini, kami percaya bahwa pengusaha muda yang inovatif akan menjadi pilar utama dalam membangun ekonomi Indonesia yang lebih kuat dan berkelanjutan,” jelasnya."
2285,"Tingkatkan Kesejahteraan Masyarakat Pesisir, Kementerian KP Luncurkan Teknologi Pengeringan Rumput Laut"
2286,"Kementerian Kelautan dan Perikanan (Kementerian KP) memperkenalkan inovasi teknologi pengeringan rumput laut berbasis sistem rumah kaca dan mesin rotary dryer di kawasan Silvofishery Marana, Maros, Sulawesi Selatan (Sulsel)."
2287,"Teknologi tersebut hadir untuk meningkatkan kualitas dan stabilitas hasil produksi rumput laut, yang selama ini terganggu oleh cuaca, terutama pada musim hujan."
2288,Inovasi teknologi pengeringan rumput laut merupakan bagian dari program Smart Fisheries Village (SFV) Mekanisasi Perikanan yang dikembangkan oleh Loka Riset Mekanisasi Pengolahan Hasil Perikanan (LRMPHP) Bantul.
2289,"Inovasi tersebut juga akan diterapkan di Silvofishery Marana, Maros, yang menjadi salah satu lokasi unggulan dalam pengembangan perikanan berbasis teknologi."
2290,Kepala Badan Penyuluhan dan Pengembangan Sumber Daya Manusia Kelautan dan Perikanan (BPPSDM KP) I Nyoman Radiarta mengatakan bahwa kolaborasi antar Unit Pelaksana Teknis (UPT) ini menjadi langkah strategis dalam menyediakan teknologi tepat guna yang mendukung peningkatan ekonomi dan kualitas hidup masyarakat pesisir.
2291,"""Dengan adanya sinergi antar UPT di bawah BPPSDM KP, kami dapat mengoptimalkan pengembangan alat dan teknologi yang sesuai dengan kebutuhan masyarakat lokal,” ujarnya dalam siaran pers yang diterima , Kamis (14/11/2024)."
2292,"Menurut Nyoman, inovasi tersebut dapat memberikan manfaat besar bagi para pembudidaya rumput laut dan masyarakat yang menggantungkan hidupnya pada sektor perikanan."
2293,DOK.
2294,Humas Kementerian KP Teknologi pengeringan rumput laut berbasis sistem rumah kaca dan mesin rotary dryer.
2295,"Sejak 2024, Loka Riset Mekanisasi Pengolahan Hasil Perikanan (LRMPHP) Bantul telah diberi tugas untuk melaksanakan SFV Mekanisasi Perikanan, yang bertujuan untuk mendukung pengembangan teknologi pengolahan hasil perikanan."
2296,Fokus utama SFV adalah mengoptimalkan aset LRMPHP dalam merancang dan membangun alat pengolahan hasil perikanan yang sesuai dengan kebutuhan masyarakat pesisir.
2297,"Pada kesempatan yang sama, Kepala LRMPHP Kartika Winta Aprilia menjelaskan dua teknologi utama yang diperkenalkan dalam inovasi ini."
2298,"“Alat pengering rumah kaca dirancang untuk meningkatkan efisiensi pengeringan rumput laut, sedangkan mesin rotary dryer digunakan untuk mempercepat proses pengeringan pelet ikan atau maggot,” ucapnya."
2299,Kedua alat tersebut diharapkan dapat memberikan manfaat signifikan bagi masyarakat pesisir yang menggantungkan hidup pada budi daya rumput laut dan pembuatan pakan ikan.
2300,"Alat pengering rumah kaca pertama kali diperkenalkan di SFV Wanamina Marana, Maros, setelah melalui proses identifikasi kebutuhan di lapangan."
2301,Lokasi ini dipilih berdasarkan kesiapan teknologi yang dimiliki oleh LRMPHP serta spesifikasi alat yang disesuaikan dengan kebutuhan para pembudidaya rumput laut di kawasan tersebut.
2302,"Sementara itu, Kepala BRPBAP3 Maros Indra Jaya Asaad menyampaikan bahwa sektor rumput laut menjadi salah satu pilar utama perekonomian masyarakat di kawasan Silvofishery Marana."
2303,"Akan tetapi, kata dia, kendala besar yang sering dihadapi adalah ketergantungan pada cuaca dalam proses pengeringan rumput laut."
2304,"Metode penjemuran tradisional seringkali tidak dapat menghasilkan kualitas produk yang stabil, terutama di musim hujan."
2305,"Kata Menaker, Penentuan UMP 2025 Pakai ""Formula yang Sudah Dipahami"""
2306,Menteri Ketenagakerjaan (Menaker) Yassierli mengakui bahwa pemerintah tidak punya cukup banyak waktu untuk melakukan kajian sebelum merumuskan besaran upah minimum provinsi (UMP) 2025.
2307,"Pasalnya, ada putusan Mahkamah Konstitusi (MK) soal penyesuaian upah saat proses perumusan UMP 2025 berjalan dari daerah ke pusat."
2308,"Sehingga pemerintah mengambil sikap yang disebut Yassierli ""langkah praktikal"" dalam merumuskan UMP 2025 pasca putusan MK, yakni menghitung UMP dengan rujukan dari formula yang saat ini sudah dipahami."
2309,"PEXELS/AHSANJAYA Ilustrasi gaji, tunjangan."
2310,"""Kami ketika bicara dengan buruh dan pengusaha kita katakan 2025 ini pengecualian."
2311,"Pengecualian dalam artian pengecualian kan keputusan MK juga baru dan kita enggak punya banyak waktu untuk melakukan studi lebih dalam, kajian akademis,"" ujar Yassierli saat audiensi dengan Kompas Gramedia di Menara Kompas, Jakarta, Selasa (19/11/2024)."
2312,"""Yang praktikal adalah kita mengambil, kita mengacu kepada formula yang teman-teman itu sudah paham,"" tegasnya."
2313,Yassierli tidak memberikan penjelasan lebih rinci soal formula yang sudah dipahami bersama itu.
2314,Ia hanya menegaskan jika nantinya ada besaran nilai konstanta yang dijadikan salah satu poin penghitungan UMP maka ada kemungkinan bisa dinaikkan.
2315,"""Tinggal kalau di situ ada konstanta, konstantanya mungkin kita bisa perluas."
2316,"Sehingga kita tidak lebih, nanti kalau kita keluar dengan sebuah rumusan acuan yang baru nanti panjang lagi diskusinya,"" ungkapnya."
2317,"Untuk diketahui, saat ini penghitungan UMP merujuk kepada Peraturan Pemerintah (PP) Nomor 51 Tahun 2023 Tentang Pengupahan."
2318,"Konsumsi Rumah Tangga Lesu di Kuartal III 2024, BPS Ungkap Penyebabnya"
