,sentence,pos_tag,iob_ner
2336,"Ini untuk memperkaya wawasan dan gagasan yang akan disampaikan,"" ujarnya.","[('Ini', np.str_('PR')), ('untuk', np.str_('SC')), ('memperkaya', np.str_('VB')), ('wawasan', np.str_('NN')), ('dan', np.str_('CC')), ('gagasan', np.str_('NN')), ('yang', np.str_('PR')), ('akan', np.str_('ADV')), ('disampaikan', np.str_('VB')), (',', 'SYM'), ('""', 'SYM'), ('ujar', np.str_('VB')), ('nya', np.str_('PR')), ('.', 'SYM')]","[('Ini', 'O'), ('untuk', 'O'), ('memperkaya', 'O'), ('wawasan', 'O'), ('dan', 'O'), ('gagasan', 'O'), ('yang', 'O'), ('akan', 'O'), ('disampaikan', 'O'), ('ujar', 'O'), ('nya', 'O')]"
2337,"Menurut Yesaya, debat publik adalah bagian dari sosialisasi untuk menyebarkan profil, visi dan misi, serta program kerja para pasangan calon kepada masyarakat.","[('Menurut', np.str_('IN')), ('Yesaya', np.str_('NNP')), (',', 'SYM'), ('debat', np.str_('NN')), ('publik', np.str_('NN')), ('adalah', np.str_('ADV')), ('bagian', np.str_('NN')), ('dari', np.str_('IN')), ('sosialisasi', np.str_('NN')), ('untuk', np.str_('SC')), ('menyebarkan', np.str_('VB')), ('profil', np.str_('NN')), (',', 'SYM'), ('visi', np.str_('NN')), ('dan', np.str_('CC')), ('misi', np.str_('NN')), (',', 'SYM'), ('serta', np.str_('CC')), ('program', np.str_('NN')), ('kerja', np.str_('NN')), ('para', np.str_('DT')), ('pasangan', np.str_('NN')), ('calon', np.str_('NN')), ('kepada', np.str_('IN')), ('masyarakat', np.str_('NN')), ('.', 'SYM')]","[('Menurut', 'O'), ('Yesaya', 'O'), ('debat', 'O'), ('publik', 'I-EVT'), ('adalah', 'O'), ('bagian', 'O'), ('dari', 'O'), ('sosialisasi', 'O'), ('untuk', 'O'), ('menyebarkan', 'O'), ('profil', 'O'), ('visi', 'O'), ('dan', 'O'), ('misi', 'O'), ('serta', 'O'), ('program', 'O'), ('kerja', 'O'), ('para', 'O'), ('pasangan', 'O'), ('calon', 'O'), ('kepada', 'O'), ('masyarakat', 'O')]"
2338,"""Selain itu juga sebagai upaya memberikan informasi secara menyeluruh kepada masyarakat sebagai salah satu pertimbangan dalam menentukan pilihannya di tanggal 27 November 2024 nanti,"" paparnya.","[('""', 'SYM'), ('Selain', np.str_('CC')), ('itu', np.str_('PR')), ('juga', np.str_('ADV')), ('sebagai', np.str_('IN')), ('upaya', np.str_('NN')), ('memberikan', np.str_('VB')), ('informasi', np.str_('NN')), ('secara', np.str_('IN')), ('menyeluruh', np.str_('VB')), ('kepada', np.str_('IN')), ('masyarakat', np.str_('NN')), ('sebagai', np.str_('IN')), ('salah', np.str_('JJ')), ('satu', np.str_('NUM')), ('pertimbangan', np.str_('NN')), ('dalam', np.str_('IN')), ('menentukan', np.str_('VB')), ('pilihan', np.str_('NN')), ('nya', np.str_('PR')), ('di', np.str_('IN')), ('tanggal', np.str_('NN')), ('27', np.str_('NUM')), ('November', np.str_('NNP')), ('2024', np.str_('NUM')), ('nanti', np.str_('VB')), (',', 'SYM'), ('""', 'SYM'), ('papar', np.str_('NN')), ('nya', np.str_('PR')), ('.', 'SYM')]","[('Selain', 'O'), ('itu', 'O'), ('juga', 'O'), ('sebagai', 'O'), ('upaya', 'O'), ('memberikan', 'O'), ('informasi', 'O'), ('secara', 'O'), ('menyeluruh', 'O'), ('kepada', 'O'), ('masyarakat', 'O'), ('sebagai', 'O'), ('salah', 'O'), ('satu', 'O'), ('pertimbangan', 'O'), ('dalam', 'O'), ('menentukan', 'O'), ('pilihan', 'O'), ('nya', 'O'), ('di', 'O'), ('tanggal', 'O'), ('27', 'I-DAT'), ('November', 'I-DAT'), ('2024', 'I-DAT'), ('nanti', 'O'), ('papar', 'O'), ('nya', 'O')]"
2339,"Seperti diketahui, Pilkada Salatiga diikuti tiga pasangan calon.","[('Seperti', np.str_('IN')), ('diketahui', np.str_('VB')), (',', 'SYM'), ('Pilkada', np.str_('NNP')), ('Salatiga', np.str_('NNP')), ('diikuti', np.str_('VB')), ('tiga', np.str_('NUM')), ('pasangan', np.str_('NN')), ('calon', np.str_('NN')), ('.', 'SYM')]","[('Seperti', 'O'), ('diketahui', 'O'), ('Pilkada', 'B-EVT'), ('Salatiga', 'I-EVT'), ('diikuti', 'O'), ('tiga', 'B-CRD'), ('pasangan', 'O'), ('calon', 'O')]"
2340,"Yakni, nomor urut 1, dr.","[('Yakni', np.str_('SC')), (',', 'SYM'), ('nomor', np.str_('NN')), ('urut', np.str_('NN')), ('1', np.str_('NUM')), (',', 'SYM'), ('dr', np.str_('NN')), ('.', 'SYM')]","[('Yakni', 'O'), ('nomor', 'O'), ('urut', 'O'), ('1', 'B-CRD'), ('dr', 'B-PER')]"
2341,"Robby Hernawan-Nina Agustin, nomor 2 Juan Rama-Sri Wahyuni, dan nomor 3, Sinoeng N.","[('Robby', np.str_('NNP')), ('Hernawan-Nina', np.str_('NNP')), ('Agustin', np.str_('NNP')), (',', 'SYM'), ('nomor', np.str_('NN')), ('2', np.str_('NUM')), ('Juan', np.str_('NNP')), ('Rama-Sri', np.str_('NNP')), ('Wahyuni', np.str_('NNP')), (',', 'SYM'), ('dan', np.str_('CC')), ('nomor', np.str_('NN')), ('3', np.str_('NUM')), (',', 'SYM'), ('Sinoeng', np.str_('NNP')), ('N', np.str_('NNP')), ('.', 'SYM')]","[('Robby', 'B-PER'), ('Hernawan-Nina', 'O'), ('Agustin', 'O'), ('nomor', 'O'), ('2', 'O'), ('Juan', 'O'), ('Rama-Sri', 'O'), ('Wahyuni', 'O'), ('dan', 'O'), ('nomor', 'O'), ('3', 'O'), ('Sinoeng', 'O'), ('N', 'O')]"
2342,Rachmadi-Budi Santoso.,"[('Rachmadi-Budi', np.str_('NNP')), ('Santoso', np.str_('NNP')), ('.', 'SYM')]","[('Rachmadi-Budi', 'O'), ('Santoso', 'O')]"
2343,Kemenangan Trump di Pemilu AS 2024 dan Imbasnya ke Ekonomi Indonesia,"[('Kemenangan', np.str_('NN')), ('Trump', np.str_('NNP')), ('di', np.str_('IN')), ('Pemilu', np.str_('NNP')), ('AS', np.str_('NNP')), ('2024', np.str_('NUM')), ('dan', np.str_('CC')), ('Imbas', np.str_('NN')), ('nya', np.str_('PR')), ('ke', np.str_('IN')), ('Ekonomi', np.str_('NNP')), ('Indonesia', np.str_('NNP'))]","[('Kemenangan', 'O'), ('Trump', 'B-PER'), ('di', 'O'), ('Pemilu', 'B-EVT'), ('AS', 'I-EVT'), ('2024', 'I-EVT'), ('dan', 'O'), ('Imbas', 'O'), ('nya', 'O'), ('ke', 'O'), ('Ekonomi', 'O'), ('Indonesia', 'B-GPE')]"
2344,"Arsip Kompas berkelindan dengan olah data, analisis, dan atau peristiwa kenyataan hari ini membangun sebuah cerita.","[('Arsip', np.str_('NNP')), ('Kompas', np.str_('NNP')), ('berkelindan', np.str_('VB')), ('dengan', np.str_('IN')), ('olah', np.str_('VB')), ('data', np.str_('NN')), (',', 'SYM'), ('analisis', np.str_('NN')), (',', 'SYM'), ('dan', np.str_('CC')), ('atau', np.str_('CC')), ('peristiwa', np.str_('NN')), ('kenyataan', np.str_('NN')), ('hari', np.str_('NN')), ('ini', np.str_('DT')), ('membangun', np.str_('VB')), ('sebuah', np.str_('DT')), ('cerita', np.str_('NN')), ('.', 'SYM')]","[('Arsip', 'O'), ('Kompas', 'O'), ('berkelindan', 'O'), ('dengan', 'O'), ('olah', 'O'), ('data', 'O'), ('analisis', 'O'), ('dan', 'O'), ('atau', 'O'), ('peristiwa', 'O'), ('kenyataan', 'O'), ('hari', 'O'), ('ini', 'O'), ('membangun', 'O'), ('sebuah', 'O'), ('cerita', 'O')]"
2345,Masa lalu dan masa kini tak pernah benar-benar terputus.,"[('Masa', np.str_('NN')), ('lalu', np.str_('ADV')), ('dan', np.str_('CC')), ('masa', np.str_('NN')), ('kini', np.str_('NN')), ('tak', np.str_('NEG')), ('pernah', np.str_('ADV')), ('benar-benar', np.str_('ADV')), ('terputus', np.str_('VB')), ('.', 'SYM')]","[('Masa', 'O'), ('lalu', 'O'), ('dan', 'O'), ('masa', 'O'), ('kini', 'O'), ('tak', 'O'), ('pernah', 'O'), ('benar-benar', 'O'), ('terputus', 'O')]"
2346,"Ikhtiar menyongsong masa depan berbekal catatan hingga hari ini, termasuk dari kekayaan Arsip Kompas.","[('Ikhtiar', np.str_('NNP')), ('menyongsong', np.str_('VB')), ('masa', np.str_('NN')), ('depan', np.str_('ADV')), ('berbekal', np.str_('VB')), ('catatan', np.str_('NN')), ('hingga', np.str_('IN')), ('hari', np.str_('NN')), ('ini', np.str_('DT')), (',', 'SYM'), ('termasuk', np.str_('VB')), ('dari', np.str_('IN')), ('kekayaan', np.str_('NN')), ('Arsip', np.str_('NNP')), ('Kompas', np.str_('NNP')), ('.', 'SYM')]","[('Ikhtiar', 'O'), ('menyongsong', 'O'), ('masa', 'O'), ('depan', 'O'), ('berbekal', 'O'), ('catatan', 'O'), ('hingga', 'O'), ('hari', 'O'), ('ini', 'O'), ('termasuk', 'O'), ('dari', 'O'), ('kekayaan', 'O'), ('Arsip', 'O'), ('Kompas', 'O')]"
2347,Donald Trump dipastikan memenangi Pemilu Amerika Serikat (AS) 2024.,"[('Donald', np.str_('NNP')), ('Trump', np.str_('NNP')), ('dipastikan', np.str_('VB')), ('memenangi', np.str_('VB')), ('Pemilu', np.str_('NNP')), ('Amerika', np.str_('NNP')), ('Serikat', np.str_('NNP')), ('(', 'SYM'), ('AS', np.str_('NNP')), (')', 'SYM'), ('2024', np.str_('NUM')), ('.', 'SYM')]","[('Donald', 'B-PER'), ('Trump', 'I-PER'), ('dipastikan', 'O'), ('memenangi', 'O'), ('Pemilu', 'B-EVT'), ('Amerika', 'I-EVT'), ('Serikat', 'I-EVT'), ('AS', 'I-EVT'), ('2024', 'B-DAT')]"
2348,Dia akan menjadi Presiden AS untuk kali kedua.,"[('Dia', np.str_('PR')), ('akan', np.str_('ADV')), ('menjadi', np.str_('VB')), ('Presiden', np.str_('NNP')), ('AS', np.str_('NNP')), ('untuk', np.str_('SC')), ('kali', np.str_('NN')), ('kedua', np.str_('JJ')), ('.', 'SYM')]","[('Dia', 'O'), ('akan', 'O'), ('menjadi', 'O'), ('Presiden', 'B-NOR'), ('AS', 'I-NOR'), ('untuk', 'O'), ('kali', 'O'), ('kedua', 'O')]"
2349,"Lalu, adakah imbasnya bagi Indonesia, terutama di bidang ekonomi?","[('Lalu', np.str_('CC')), (',', 'SYM'), ('ada', np.str_('VB')), ('kah', np.str_('RP')), ('imbas', np.str_('NN')), ('nya', np.str_('PR')), ('bagi', np.str_('IN')), ('Indonesia', np.str_('NNP')), (',', 'SYM'), ('terutama', np.str_('JJ')), ('di', np.str_('IN')), ('bidang', np.str_('NN')), ('ekonomi', np.str_('NN')), ('?', 'SYM')]","[('Lalu', 'O'), ('ada', 'O'), ('kah', 'O'), ('imbas', 'O'), ('nya', 'O'), ('bagi', 'O'), ('Indonesia', 'B-GPE'), ('terutama', 'O'), ('di', 'O'), ('bidang', 'O'), ('ekonomi', 'O')]"
2350,"Jawabannya, ada.","[('Jawaban', np.str_('NN')), ('nya', np.str_('PR')), (',', 'SYM'), ('ada', np.str_('VB')), ('.', 'SYM')]","[('Jawaban', 'O'), ('nya', 'O'), ('ada', 'O')]"
2351,"Bahkan, imbasnya diprediksi cukup signifikan.","[('Bahkan', np.str_('ADV')), (',', 'SYM'), ('imbas', np.str_('NN')), ('nya', np.str_('PR')), ('diprediksi', np.str_('VB')), ('cukup', np.str_('ADV')), ('signifikan', np.str_('JJ')), ('.', 'SYM')]","[('Bahkan', 'O'), ('imbas', 'O'), ('nya', 'O'), ('diprediksi', 'O'), ('cukup', 'O'), ('signifikan', 'O')]"
2352,Ada sejumlah dimensi pula.,"[('Ada', np.str_('VB')), ('sejumlah', np.str_('NUM')), ('dimensi', np.str_('NN')), ('pula', np.str_('ADV')), ('.', 'SYM')]","[('Ada', 'O'), ('sejumlah', 'O'), ('dimensi', 'O'), ('pula', 'O')]"
2353,Imbas ini juga bisa dibagi untuk jangka pendek serta jangka menengah dan panjang.,"[('Imbas', np.str_('NN')), ('ini', np.str_('DT')), ('juga', np.str_('ADV')), ('bisa', np.str_('ADV')), ('dibagi', np.str_('VB')), ('untuk', np.str_('SC')), ('jangka', np.str_('NN')), ('pendek', np.str_('JJ')), ('serta', np.str_('CC')), ('jangka', np.str_('NN')), ('menengah', np.str_('JJ')), ('dan', np.str_('CC')), ('panjang', np.str_('JJ')), ('.', 'SYM')]","[('Imbas', 'O'), ('ini', 'O'), ('juga', 'O'), ('bisa', 'O'), ('dibagi', 'O'), ('untuk', 'O'), ('jangka', 'O'), ('pendek', 'O'), ('serta', 'O'), ('jangka', 'O'), ('menengah', 'O'), ('dan', 'O'), ('panjang', 'O')]"
2354,"""Kemenangan Trump ini bagi Indonesia lebih banyak ke aspek keuangan (dan) moneter,"" ujar Direktur Eksekutif The Prakarsa, Ah Maftuchan, Rabu (6/11/2024).","[('""', 'SYM'), ('Kemenangan', np.str_('NN')), ('Trump', np.str_('NNP')), ('ini', np.str_('DT')), ('bagi', np.str_('IN')), ('Indonesia', np.str_('NNP')), ('lebih', np.str_('ADV')), ('banyak', np.str_('JJ')), ('ke', np.str_('IN')), ('aspek', np.str_('NN')), ('keuangan', np.str_('NN')), ('(', 'SYM'), ('dan', np.str_('CC')), (')', 'SYM'), ('moneter', np.str_('NN')), (',', 'SYM'), ('""', 'SYM'), ('ujar', np.str_('VB')), ('Direktur', np.str_('NNP')), ('Eksekutif', np.str_('NNP')), ('The', np.str_('NNP')), ('Prakarsa', np.str_('NNP')), (',', 'SYM'), ('Ah', np.str_('NNP')), ('Maftuchan', np.str_('NNP')), (',', 'SYM'), ('Rabu', np.str_('NNP')), ('(', 'SYM'), ('6/11/2024', np.str_('NUM')), (')', 'SYM'), ('.', 'SYM')]","[('Kemenangan', 'O'), ('Trump', 'B-PER'), ('ini', 'O'), ('bagi', 'O'), ('Indonesia', 'B-GPE'), ('lebih', 'O'), ('banyak', 'O'), ('ke', 'O'), ('aspek', 'O'), ('keuangan', 'O'), ('dan', 'O'), ('moneter', 'O'), ('ujar', 'O'), ('Direktur', 'O'), ('Eksekutif', 'O'), ('The', 'O'), ('Prakarsa', 'O'), ('Ah', 'O'), ('Maftuchan', 'O'), ('Rabu', 'O'), ('6/11/2024', 'O')]"
2355,"Secara umum, kata dia, kebijakan ekonomi dan dagang Trump akan mementingkan ekonomi domestik Amerika terlebih dahulu.","[('Secara', np.str_('IN')), ('umum', np.str_('JJ')), (',', 'SYM'), ('kata', np.str_('NN')), ('dia', np.str_('PR')), (',', 'SYM'), ('kebijakan', np.str_('NN')), ('ekonomi', np.str_('NN')), ('dan', np.str_('CC')), ('dagang', np.str_('VB')), ('Trump', np.str_('NNP')), ('akan', np.str_('ADV')), ('mementingkan', np.str_('VB')), ('ekonomi', np.str_('NN')), ('domestik', np.str_('JJ')), ('Amerika', np.str_('NNP')), ('terlebih', np.str_('JJ')), ('dahulu', np.str_('NN')), ('.', 'SYM')]","[('Secara', 'O'), ('umum', 'O'), ('kata', 'O'), ('dia', 'O'), ('kebijakan', 'O'), ('ekonomi', 'O'), ('dan', 'O'), ('dagang', 'O'), ('Trump', 'B-PER'), ('akan', 'O'), ('mementingkan', 'O'), ('ekonomi', 'O'), ('domestik', 'O'), ('Amerika', 'B-GPE'), ('terlebih', 'O'), ('dahulu', 'O')]"
2356,"Misal, dengan rencana bea masuk (tarif) tinggi ke Amerika untuk produk impor.","[('Misal', np.str_('NN')), (',', 'SYM'), ('dengan', np.str_('IN')), ('rencana', np.str_('NN')), ('bea', np.str_('NN')), ('masuk', np.str_('VB')), ('(', 'SYM'), ('tarif', np.str_('NN')), (')', 'SYM'), ('tinggi', np.str_('JJ')), ('ke', np.str_('IN')), ('Amerika', np.str_('NNP')), ('untuk', np.str_('SC')), ('produk', np.str_('NN')), ('impor', np.str_('NN')), ('.', 'SYM')]","[('Misal', 'O'), ('dengan', 'O'), ('rencana', 'O'), ('bea', 'O'), ('masuk', 'O'), ('tarif', 'O'), ('tinggi', 'O'), ('ke', 'O'), ('Amerika', 'B-GPE'), ('untuk', 'O'), ('produk', 'O'), ('impor', 'O')]"
2357,"Namun, Maftuchan berkeyakinan Trump tidak akan membuat kebijakan seekstrem periode pertama jabatannya pada 2016-2020 yang antara lain memicu perang dagang dengan China dan berdampak global.","[('Namun', np.str_('CC')), (',', 'SYM'), ('Maftuchan', np.str_('NNP')), ('berkeyakinan', np.str_('VB')), ('Trump', np.str_('NNP')), ('tidak', np.str_('NEG')), ('akan', np.str_('ADV')), ('membuat', np.str_('VB')), ('kebijakan', np.str_('NN')), ('seekstrem', np.str_('JJ')), ('periode', np.str_('NN')), ('pertama', np.str_('JJ')), ('jabatan', np.str_('NN')), ('nya', np.str_('PR')), ('pada', np.str_('IN')), ('2016-2020', np.str_('NUM')), ('yang', np.str_('PR')), ('antara', np.str_('IN')), ('lain', np.str_('JJ')), ('memicu', np.str_('VB')), ('perang', np.str_('NN')), ('dagang', np.str_('VB')), ('dengan', np.str_('IN')), ('China', np.str_('NNP')), ('dan', np.str_('CC')), ('berdampak', np.str_('VB')), ('global', np.str_('JJ')), ('.', 'SYM')]","[('Namun', 'O'), ('Maftuchan', 'O'), ('berkeyakinan', 'O'), ('Trump', 'O'), ('tidak', 'O'), ('akan', 'O'), ('membuat', 'O'), ('kebijakan', 'O'), ('seekstrem', 'O'), ('periode', 'O'), ('pertama', 'O'), ('jabatan', 'O'), ('nya', 'O'), ('pada', 'O'), ('2016-2020', 'O'), ('yang', 'O'), ('antara', 'O'), ('lain', 'O'), ('memicu', 'O'), ('perang', 'O'), ('dagang', 'O'), ('dengan', 'O'), ('China', 'O'), ('dan', 'O'), ('berdampak', 'O'), ('global', 'O')]"
2358,"Adapun ekonom senior Samuel Sekuritas Indonesia, Fithra Faisal Hastiandi, memprediksi ada imbas negatif untuk ekonomi Indonesia dalam jangka pendek, terutama di sektor keuangan dan moneter.","[('Adapun', np.str_('IN')), ('ekonom', np.str_('NN')), ('senior', np.str_('NN')), ('Samuel', np.str_('NNP')), ('Sekuritas', np.str_('NNP')), ('Indonesia', np.str_('NNP')), (',', 'SYM'), ('Fithra', np.str_('NNP')), ('Faisal', np.str_('NNP')), ('Hastiandi', np.str_('NNP')), (',', 'SYM'), ('memprediksi', np.str_('VB')), ('ada', np.str_('VB')), ('imbas', np.str_('NN')), ('negatif', np.str_('JJ')), ('untuk', np.str_('SC')), ('ekonomi', np.str_('NN')), ('Indonesia', np.str_('NNP')), ('dalam', np.str_('IN')), ('jangka', np.str_('NN')), ('pendek', np.str_('JJ')), (',', 'SYM'), ('terutama', np.str_('JJ')), ('di', np.str_('IN')), ('sektor', np.str_('NN')), ('keuangan', np.str_('NN')), ('dan', np.str_('CC')), ('moneter', np.str_('NN')), ('.', 'SYM')]","[('Adapun', 'O'), ('ekonom', 'O'), ('senior', 'O'), ('Samuel', 'O'), ('Sekuritas', 'O'), ('Indonesia', 'O'), ('Fithra', 'O'), ('Faisal', 'O'), ('Hastiandi', 'O'), ('memprediksi', 'O'), ('ada', 'O'), ('imbas', 'O'), ('negatif', 'O'), ('untuk', 'O'), ('ekonomi', 'O'), ('Indonesia', 'O'), ('dalam', 'O'), ('jangka', 'O'), ('pendek', 'O'), ('terutama', 'O'), ('di', 'O'), ('sektor', 'O'), ('keuangan', 'O'), ('dan', 'O'), ('moneter', 'O')]"
2359,"Meski demikian, Fithra berkeyakinan tetap ada peluang terpampang bagi Indonesia di jangka menengah dan panjang terkait kebijakan ekonomi Trump.","[('Meski', np.str_('SC')), ('demikian', np.str_('PR')), (',', 'SYM'), ('Fithra', np.str_('NNP')), ('berkeyakinan', np.str_('VB')), ('tetap', np.str_('ADV')), ('ada', np.str_('VB')), ('peluang', np.str_('NN')), ('terpampang', np.str_('VB')), ('bagi', np.str_('IN')), ('Indonesia', np.str_('NNP')), ('di', np.str_('IN')), ('jangka', np.str_('NN')), ('menengah', np.str_('JJ')), ('dan', np.str_('CC')), ('panjang', np.str_('JJ')), ('terkait', np.str_('VB')), ('kebijakan', np.str_('NN')), ('ekonomi', np.str_('NN')), ('Trump', np.str_('NNP')), ('.', 'SYM')]","[('Meski', 'O'), ('demikian', 'O'), ('Fithra', 'O'), ('berkeyakinan', 'O'), ('tetap', 'O'), ('ada', 'O'), ('peluang', 'O'), ('terpampang', 'O'), ('bagi', 'O'), ('Indonesia', 'O'), ('di', 'O'), ('jangka', 'O'), ('menengah', 'O'), ('dan', 'O'), ('panjang', 'O'), ('terkait', 'O'), ('kebijakan', 'O'), ('ekonomi', 'O'), ('Trump', 'O')]"
2360,"""Secara jangka pendek, kemenangan Trump ini saya prediksi akan mempengaruhi keputusan The Fed (terkait suku bunga acuan The Fed) pada 7 November 2024 waktu setempat,"" kata Fithra, Rabu.","[('""', 'SYM'), ('Secara', np.str_('IN')), ('jangka', np.str_('NN')), ('pendek', np.str_('JJ')), (',', 'SYM'), ('kemenangan', np.str_('NN')), ('Trump', np.str_('NNP')), ('ini', np.str_('DT')), ('saya', np.str_('PR')), ('prediksi', np.str_('NN')), ('akan', np.str_('ADV')), ('mempengaruhi', np.str_('VB')), ('keputusan', np.str_('NN')), ('The', np.str_('NNP')), ('Fed', np.str_('NNP')), ('(', 'SYM'), ('terkait', np.str_('VB')), ('suku', np.str_('NN')), ('bunga', np.str_('NN')), ('acuan', np.str_('NN')), ('The', np.str_('NNP')), ('Fed', np.str_('NNP')), (')', 'SYM'), ('pada', np.str_('IN')), ('7', np.str_('NUM')), ('November', np.str_('NNP')), ('2024', np.str_('NUM')), ('waktu', np.str_('NN')), ('setempat', np.str_('NN')), (',', 'SYM'), ('""', 'SYM'), ('kata', np.str_('NN')), ('Fithra', np.str_('NNP')), (',', 'SYM'), ('Rabu', np.str_('NNP')), ('.', 'SYM')]","[('Secara', 'O'), ('jangka', 'O'), ('pendek', 'O'), ('kemenangan', 'O'), ('Trump', 'B-PER'), ('ini', 'O'), ('saya', 'O'), ('prediksi', 'O'), ('akan', 'O'), ('mempengaruhi', 'O'), ('keputusan', 'O'), ('The', 'O'), ('Fed', 'O'), ('terkait', 'O'), ('suku', 'O'), ('bunga', 'O'), ('acuan', 'O'), ('The', 'O'), ('Fed', 'O'), ('pada', 'O'), ('7', 'B-DAT'), ('November', 'I-DAT'), ('2024', 'I-DAT'), ('waktu', 'O'), ('setempat', 'O'), ('kata', 'O'), ('Fithra', 'O'), ('Rabu', 'O')]"
2361,"Bila The Fed menahan atau membatasi penurunan suku bunga dibanding proyeksi sebelum hasil Pemilu AS 2024 ini menuju kemenangan Trump, nilai tukar rupiah dan bursa saham bisa tertekan.","[('Bila', np.str_('SC')), ('The', np.str_('NNP')), ('Fed', np.str_('NNP')), ('menahan', np.str_('VB')), ('atau', np.str_('CC')), ('membatasi', np.str_('VB')), ('penurunan', np.str_('NN')), ('suku', np.str_('NN')), ('bunga', np.str_('NN')), ('dibanding', np.str_('VB')), ('proyeksi', np.str_('NN')), ('sebelum', np.str_('SC')), ('hasil', np.str_('NN')), ('Pemilu', np.str_('NNP')), ('AS', np.str_('NNP')), ('2024', np.str_('NUM')), ('ini', np.str_('DT')), ('menuju', np.str_('VB')), ('kemenangan', np.str_('NN')), ('Trump', np.str_('NNP')), (',', 'SYM'), ('nilai', np.str_('NN')), ('tukar', np.str_('VB')), ('rupiah', np.str_('NN')), ('dan', np.str_('CC')), ('bursa', np.str_('NN')), ('saham', np.str_('NN')), ('bisa', np.str_('ADV')), ('tertekan', np.str_('VB')), ('.', 'SYM')]","[('Bila', 'O'), ('The', 'O'), ('Fed', 'O'), ('menahan', 'O'), ('atau', 'O'), ('membatasi', 'O'), ('penurunan', 'B-ECONOMIC_INDICATOR'), ('suku', 'I-ECONOMIC_INDICATOR'), ('bunga', 'O'), ('dibanding', 'O'), ('proyeksi', 'O'), ('sebelum', 'O'), ('hasil', 'O'), ('Pemilu', 'B-EVT'), ('AS', 'I-EVT'), ('2024', 'I-EVT'), ('ini', 'O'), ('menuju', 'O'), ('kemenangan', 'O'), ('Trump', 'B-PER'), ('nilai', 'O'), ('tukar', 'O'), ('rupiah', 'O'), ('dan', 'O'), ('bursa', 'O'), ('saham', 'B-ASSET_CLASS'), ('bisa', 'O'), ('tertekan', 'O')]"
2362,"Namun, Fithra berkeyakinan nilai tukar rupiah bakal mampu bertahan di bawah level Rp 16.000 per dollar AS hingga akhir tahun ini.","[('Namun', np.str_('CC')), (',', 'SYM'), ('Fithra', np.str_('NNP')), ('berkeyakinan', np.str_('VB')), ('nilai', np.str_('NN')), ('tukar', np.str_('VB')), ('rupiah', np.str_('NN')), ('bakal', np.str_('ADV')), ('mampu', np.str_('ADV')), ('bertahan', np.str_('VB')), ('di', np.str_('IN')), ('bawah', np.str_('NN')), ('level', np.str_('NN')), ('Rp', np.str_('SYM')), ('16.000', np.str_('NUM')), ('per', np.str_('IN')), ('dollar', np.str_('NN')), ('AS', np.str_('NNP')), ('hingga', np.str_('IN')), ('akhir', np.str_('NN')), ('tahun', np.str_('NN')), ('ini', np.str_('DT')), ('.', 'SYM')]","[('Namun', 'O'), ('Fithra', 'O'), ('berkeyakinan', 'O'), ('nilai', 'O'), ('tukar', 'O'), ('rupiah', 'O'), ('bakal', 'O'), ('mampu', 'O'), ('bertahan', 'O'), ('di', 'O'), ('bawah', 'O'), ('level', 'O'), ('Rp', 'O'), ('16.000', 'O'), ('per', 'O'), ('dollar', 'O'), ('AS', 'O'), ('hingga', 'O'), ('akhir', 'O'), ('tahun', 'O'), ('ini', 'O')]"
2363,"Terpisah, ekonom senior Institute for Development of Economics and Finance (Indef) Dradjad Hari Wibowo, lebih khawatir dengan imbas kebijakan tarif yang akan diterapkan Trump terutama untuk produk dari China.","[('Terpisah', np.str_('NNP')), (',', 'SYM'), ('ekonom', np.str_('NN')), ('senior', np.str_('NN')), ('Institute', np.str_('NNP')), ('for', np.str_('NNP')), ('Development', np.str_('NNP')), ('of', np.str_('NNP')), ('Economics', np.str_('NNP')), ('and', np.str_('NNP')), ('Finance', np.str_('NNP')), ('(', 'SYM'), ('Indef', np.str_('NNP')), (')', 'SYM'), ('Dradjad', np.str_('NNP')), ('Hari', np.str_('NNP')), ('Wibowo', np.str_('NNP')), (',', 'SYM'), ('lebih', np.str_('ADV')), ('khawatir', np.str_('JJ')), ('dengan', np.str_('IN')), ('imbas', np.str_('NN')), ('kebijakan', np.str_('NN')), ('tarif', np.str_('NN')), ('yang', np.str_('PR')), ('akan', np.str_('ADV')), ('diterapkan', np.str_('VB')), ('Trump', np.str_('NNP')), ('terutama', np.str_('JJ')), ('untuk', np.str_('IN')), ('produk', np.str_('NN')), ('dari', np.str_('IN')), ('China', np.str_('NNP')), ('.', 'SYM')]","[('Terpisah', 'O'), ('ekonom', 'O'), ('senior', 'O'), ('Institute', 'O'), ('for', 'O'), ('Development', 'O'), ('of', 'O'), ('Economics', 'O'), ('and', 'O'), ('Finance', 'O'), ('Indef', 'O'), ('Dradjad', 'O'), ('Hari', 'O'), ('Wibowo', 'O'), ('lebih', 'O'), ('khawatir', 'O'), ('dengan', 'O'), ('imbas', 'O'), ('kebijakan', 'O'), ('tarif', 'O'), ('yang', 'O'), ('akan', 'O'), ('diterapkan', 'O'), ('Trump', 'O'), ('terutama', 'O'), ('untuk', 'O'), ('produk', 'O'), ('dari', 'O'), ('China', 'O')]"
